,equity
2022-04-07 00:00:00+00:00,10562.809481309936
2022-04-08 00:00:00+00:00,10612.426659382343
2022-04-11 00:00:00+00:00,10612.426659382343
2022-04-12 00:00:00+00:00,10612.426659382343
2022-04-13 00:00:00+00:00,10612.426659382343
2022-04-14 00:00:00+00:00,10611.93375444707
2022-04-15 00:00:00+00:00,10611.93375444707
2022-04-18 00:00:00+00:00,10611.93375444707
2022-04-19 00:00:00+00:00,10611.93375444707
2022-04-20 00:00:00+00:00,10611.93375444707
2022-04-21 00:00:00+00:00,10611.93375444707
2022-04-22 00:00:00+00:00,10611.93375444707
2022-04-25 00:00:00+00:00,10611.93375444707
2022-04-26 00:00:00+00:00,10611.93375444707
2022-04-27 00:00:00+00:00,10661.840303981258
2022-04-28 00:00:00+00:00,10661.840303981258
2022-04-29 00:00:00+00:00,10661.840303981258
2022-05-02 00:00:00+00:00,10661.840303981258
2022-05-03 00:00:00+00:00,10661.840303981258
2022-05-04 00:00:00+00:00,10661.840303981258
2022-05-05 00:00:00+00:00,10661.840303981258
2022-05-06 00:00:00+00:00,10661.840303981258
2022-05-09 00:00:00+00:00,10661.840303981258
2022-05-10 00:00:00+00:00,10661.840303981258
2022-05-11 00:00:00+00:00,10661.840303981258
2022-05-12 00:00:00+00:00,10792.72917297907
2022-05-13 00:00:00+00:00,10843.489614495204
2022-05-16 00:00:00+00:00,10843.489614495204
2022-05-17 00:00:00+00:00,10843.052046997016
2022-05-18 00:00:00+00:00,10843.052046997016
2022-05-19 00:00:00+00:00,10843.052046997016
2022-05-20 00:00:00+00:00,10843.052046997016
2022-05-23 00:00:00+00:00,10843.052046997016
2022-05-24 00:00:00+00:00,10843.052046997016
2022-05-25 00:00:00+00:00,10843.052046997016
2022-05-26 00:00:00+00:00,10843.052046997016
2022-05-27 00:00:00+00:00,10843.052046997016
2022-05-30 00:00:00+00:00,10843.052046997016
2022-05-31 00:00:00+00:00,10843.052046997016
2022-06-01 00:00:00+00:00,10812.4127419738
2022-06-02 00:00:00+00:00,10812.4127419738
